,Race ID,Driver ID,avg pit time
0,841.0,153.0,25903.0
1,841.0,30.0,24504.5
2,841.0,17.0,24058.666666666668
3,841.0,4.0,24055.0
4,841.0,13.0,24145.666666666668
5,841.0,22.0,26175.0
6,841.0,20.0,23319.5
7,841.0,814.0,24597.5
8,841.0,816.0,25852.5
9,841.0,67.0,24221.0
10,841.0,2.0,24046.0
11,841.0,1.0,23213.0
12,841.0,808.0,25109.0
13,841.0,3.0,23716.0
14,841.0,155.0,24128.0
15,841.0,16.0,24924.5
16,841.0,15.0,24873.5
17,841.0,18.0,20950.333333333332
18,841.0,5.0,24865.0
19,841.0,10.0,23792.0
20,841.0,815.0,23438.0
21,842.0,16.0,25430.0
22,842.0,22.0,28740.0
23,842.0,17.0,22198.25
24,842.0,814.0,23056.333333333332
25,842.0,1.0,23252.75
26,842.0,20.0,22408.333333333332
27,842.0,2.0,23241.0
28,842.0,18.0,22451.333333333332
29,842.0,13.0,24886.0
30,842.0,15.0,25516.0
31,842.0,4.0,24510.0
32,842.0,30.0,22354.666666666668
33,842.0,808.0,24852.0
34,842.0,67.0,26854.0
35,842.0,3.0,23356.666666666668
36,842.0,5.0,26210.0
37,842.0,153.0,23236.0
38,842.0,155.0,23361.0
39,842.0,815.0,23597.0
40,842.0,10.0,24523.0
41,842.0,816.0,25334.0
42,842.0,24.0,31064.0
43,843.0,153.0,22419.0
44,843.0,24.0,20708.666666666668
45,843.0,30.0,21295.333333333332
46,843.0,17.0,21888.333333333332
47,843.0,813.0,24280.666666666668
48,843.0,814.0,21603.5
49,843.0,3.0,21165.333333333332
50,843.0,67.0,22886.666666666668
51,843.0,18.0,21924.666666666668
52,843.0,20.0,21764.0
53,843.0,155.0,21895.5
54,843.0,13.0,21396.0
55,843.0,1.0,20659.333333333332
56,843.0,16.0,23585.0
57,843.0,4.0,21887.5
58,843.0,815.0,21903.75
59,843.0,22.0,21595.0
60,843.0,10.0,26139.333333333332
61,843.0,808.0,21993.0
62,843.0,2.0,22018.5
63,843.0,5.0,22187.5
64,843.0,15.0,22644.5
65,843.0,816.0,22851.5
66,843.0,39.0,26049.0
67,844.0,815.0,24061.25
68,844.0,30.0,23016.25
69,844.0,808.0,21561.25
70,844.0,13.0,23375.0
71,844.0,1.0,24909.25
72,844.0,67.0,21976.333333333332
73,844.0,17.0,21100.25
74,844.0,4.0,21530.25
75,844.0,3.0,21189.25
76,844.0,2.0,21743.75
77,844.0,22.0,22424.0
78,844.0,16.0,21246.333333333332
79,844.0,20.0,20402.25
80,844.0,814.0,20998.75
81,844.0,813.0,20547.0
82,844.0,18.0,21808.0
83,844.0,155.0,22577.0
84,844.0,153.0,22114.0
85,844.0,15.0,22715.666666666668
86,844.0,39.0,25596.333333333332
87,844.0,5.0,22533.666666666668
88,844.0,24.0,37493.25
89,844.0,816.0,23808.0
90,845.0,155.0,22166.333333333332
91,845.0,815.0,22188.0
92,845.0,813.0,22790.25
93,845.0,20.0,20214.5
94,845.0,67.0,22127.333333333332
95,845.0,4.0,20480.75
96,845.0,17.0,20305.75
97,845.0,30.0,20340.666666666668
98,845.0,1.0,20364.25
99,845.0,808.0,22609.0
100,845.0,3.0,20192.0
101,845.0,13.0,21618.0
102,845.0,153.0,21443.75
103,845.0,22.0,23112.25
104,845.0,16.0,21423.333333333332
105,845.0,18.0,20295.0
106,845.0,39.0,24529.666666666668
107,845.0,814.0,20256.333333333332
108,845.0,15.0,22362.666666666668
109,845.0,5.0,21631.333333333332
110,845.0,24.0,23157.0
111,845.0,10.0,21848.666666666668
112,845.0,816.0,22622.0
113,845.0,2.0,21357.0
114,846.0,30.0,35084.0
115,846.0,18.0,25457.0
116,846.0,3.0,25205.0
117,846.0,20.0,28536.0
118,846.0,17.0,32002.0
119,846.0,4.0,28367.0
120,846.0,5.0,26177.5
121,846.0,814.0,30518.666666666668
122,846.0,1.0,25923.0
123,846.0,10.0,26827.0
124,846.0,15.0,25830.0
125,846.0,813.0,26077.5
126,846.0,13.0,26615.0
127,846.0,39.0,34121.0
128,846.0,808.0,28856.0
129,846.0,153.0,26728.5
130,846.0,22.0,25798.0
131,846.0,2.0,26066.0
132,846.0,67.0,25559.0
133,846.0,24.0,28298.0
134,846.0,816.0,27020.5
135,846.0,155.0,28642.0
136,846.0,16.0,26458.0
137,847.0,18.0,23511.166666666668
138,847.0,24.0,31792.333333333332
139,847.0,22.0,24028.5
140,847.0,16.0,23497.25
141,847.0,4.0,25456.666666666668
142,847.0,3.0,22882.0
143,847.0,813.0,25501.6
144,847.0,67.0,24782.25
145,847.0,816.0,24909.4
146,847.0,30.0,23592.25
147,847.0,153.0,24748.666666666668
148,847.0,5.0,44037.0
149,847.0,15.0,33385.333333333336
150,847.0,20.0,23118.666666666668
151,847.0,17.0,24906.0
152,847.0,13.0,24633.5
153,847.0,10.0,24752.0
154,847.0,2.0,23238.5
155,847.0,814.0,22194.0
156,847.0,37.0,27163.5
157,847.0,155.0,24152.5
158,847.0,808.0,23980.5
159,847.0,39.0,29327.5
160,848.0,813.0,21532.0
161,848.0,2.0,21957.0
162,848.0,22.0,21237.0
163,848.0,155.0,22018.5
164,848.0,1.0,20529.0
165,848.0,3.0,21832.333333333332
166,848.0,16.0,20666.0
167,848.0,17.0,20383.666666666668
168,848.0,20.0,20592.666666666668
169,848.0,4.0,20721.333333333332
170,848.0,18.0,20600.333333333332
171,848.0,30.0,24344.666666666668
172,848.0,814.0,20818.0
173,848.0,67.0,20925.333333333332
174,848.0,5.0,22333.0
175,848.0,39.0,26254.666666666668
176,848.0,13.0,22219.666666666668
177,848.0,808.0,21459.0
178,848.0,24.0,23153.333333333332
179,848.0,10.0,21965.0
180,848.0,15.0,22729.0
181,848.0,816.0,22096.5
182,848.0,153.0,21247.0
183,848.0,815.0,21939.0
184,849.0,30.0,28881.333333333332
185,849.0,2.0,24575.0
186,849.0,18.0,24216.333333333332
187,849.0,16.0,25684.666666666668
188,849.0,155.0,29999.5
189,849.0,813.0,24793.0
190,849.0,67.0,25449.5
191,849.0,808.0,24526.0
192,849.0,22.0,24907.5
193,849.0,10.0,25187.5
194,849.0,24.0,26074.0
195,849.0,816.0,27085.0
196,849.0,17.0,24416.0
197,849.0,4.0,24671.333333333332
198,849.0,1.0,24168.333333333332
199,849.0,814.0,34458.0
200,849.0,3.0,24560.5
201,849.0,815.0,25502.5
202,849.0,153.0,24407.0
203,849.0,817.0,26407.0
204,849.0,20.0,26504.333333333332
205,849.0,13.0,23775.333333333332
206,850.0,815.0,24446.0
207,850.0,67.0,24127.5
208,850.0,812.0,25556.0
209,850.0,17.0,20687.666666666668
210,850.0,3.0,20456.666666666668
211,850.0,30.0,20332.333333333332
212,850.0,813.0,21329.0
213,850.0,1.0,20627.0
214,850.0,4.0,20146.666666666668
215,850.0,20.0,20259.333333333332
216,850.0,13.0,20810.666666666668
217,850.0,155.0,21074.5
218,850.0,24.0,22048.0
219,850.0,817.0,23186.0
220,850.0,16.0,20859.0
221,850.0,10.0,21752.0
222,850.0,808.0,21010.5
223,850.0,153.0,21375.5
224,850.0,814.0,23105.5
225,850.0,18.0,20952.0
226,850.0,816.0,22175.0
227,850.0,5.0,21631.5
228,851.0,17.0,20672.8
229,851.0,13.0,21760.25
