,Race ID,Driver ID,position,avg laptime
0,841.0,20.0,1.0,92590.6724137931
1,841.0,1.0,2.0,92975.10344827586
2,841.0,17.0,5.0,93248.79310344828
3,841.0,808.0,3.0,93117.56896551725
4,841.0,13.0,9.0,94059.39655172414
5,841.0,18.0,6.0,93526.94827586207
6,841.0,3.0,8.0,96448.90909090909
7,841.0,155.0,8.0,93916.05172413793
8,841.0,4.0,4.0,93138.46551724138
9,841.0,814.0,12.0,95153.78947368421
10,841.0,67.0,10.0,94363.24561403508
11,841.0,16.0,11.0,94645.50877192983
12,841.0,2.0,14.0,95507.0350877193
13,841.0,815.0,7.0,93725.93103448275
14,841.0,5.0,17.0,98761.0
15,841.0,813.0,15.0,97992.88888888889
16,841.0,15.0,15.0,97384.57142857143
17,841.0,816.0,16.0,99528.11111111111
18,841.0,10.0,17.0,111482.38775510204
19,841.0,22.0,15.0,96734.5
20,841.0,153.0,13.0,95244.26315789473
21,841.0,30.0,20.0,101762.47368421052
22,842.0,20.0,1.0,104639.85714285714
23,842.0,2.0,3.0,105087.625
24,842.0,1.0,7.0,105531.94642857143
25,842.0,18.0,2.0,104698.08928571429
26,842.0,808.0,8.0,105781.67307692308
27,842.0,13.0,5.0,105299.82142857143
28,842.0,4.0,6.0,105305.0
29,842.0,30.0,9.0,106155.85714285714
30,842.0,17.0,4.0,105111.0
31,842.0,155.0,8.0,105826.26785714286
32,842.0,153.0,14.0,107329.23636363636
33,842.0,67.0,13.0,107158.56363636363
34,842.0,3.0,12.0,106650.36363636363
35,842.0,814.0,10.0,106274.91071428571
36,842.0,22.0,22.0,113979.5
37,842.0,16.0,11.0,106450.19642857143
38,842.0,815.0,14.0,108356.39130434782
39,842.0,813.0,20.0,110773.125
40,842.0,5.0,15.0,107336.78181818181
41,842.0,10.0,16.0,108747.42592592593
42,842.0,15.0,17.0,109031.29032258065
43,842.0,816.0,18.0,109482.64285714286
44,842.0,24.0,18.0,112339.84782608696
45,842.0,39.0,22.0,112038.78571428571
46,843.0,18.0,4.0,104075.46428571429
47,843.0,1.0,1.0,103896.89285714286
48,843.0,20.0,2.0,103989.71428571429
49,843.0,3.0,5.0,104137.03571428571
50,843.0,13.0,6.0,104179.75
51,843.0,4.0,7.0,104443.71428571429
52,843.0,814.0,11.0,105124.69642857143
53,843.0,16.0,15.0,105799.2
54,843.0,30.0,8.0,104450.92857142857
